name,level,school,casting_time,range,components,duration,concentration,ritual,classes,description,source
Blinding Smite,3,Evocation,1 bonus action,Self,V,Concentration up to 1 minute,Yes,No,Paladin,Next weapon hit this turn +3d8 radiant + CON save or blinded.,Basic
Call Lightning,3,Conjuration,1 action,120 feet,V S,Concentration up to 10 minutes,Yes,No,Druid,Storm cloud 60ft radius. Action to call lightning bolt at point in range: DEX save half 3d10 lightning in 5ft cylinder. Outdoor stormy: 4d10. Upcast +1d10 per slot.,Basic
Clairvoyance,3,Divination,10 minutes,1 mile,V S M (focus jeweled horn worth 100gp or eye of newt),Concentration up to 10 minutes,Yes,No,"Bard, Cleric, Sorcerer, Wizard",Invisible sensor at chosen location: see/hear (your choice).,Basic
Conjure Animals,3,Conjuration,1 action,60 feet,V S,Concentration up to 1 hour,Yes,No,"Druid, Ranger",Summon: 1 CR2/2 CR1/4 CR1-2/8 CR1-4 fey beasts. Upcast: scale up. Friendly to you and companions.,Basic
Counterspell,3,Abjuration,1 reaction (when you see creature within 60ft casting spell),60 feet,S,Instantaneous,No,No,"Sorcerer, Warlock, Wizard",Spell ≤3rd auto-fails. Higher: ability check 1d20 + spellcasting mod vs DC 10 + spell level.,Basic
Create Food and Water,3,Conjuration,1 action,30 feet,V S,Instantaneous,No,No,"Cleric, Paladin",45lb food + 30 gal water (lasts 24h).,Basic
Crusader's Mantle,3,Evocation,1 action,Self (30-ft aura),V,Concentration up to 1 minute,Yes,No,Paladin,Friendly creatures in aura: weapon attacks deal +1d4 radiant.,Basic
Daylight,3,Evocation,1 action,60 feet,V S,1 hour,No,No,"Cleric, Druid, Paladin, Ranger, Sorcerer, Wizard",60ft radius bright sunlight + 60ft dim. Suppresses ≤3rd-level magical darkness.,Basic
Dispel Magic,3,Abjuration,1 action,120 feet,V S,Instantaneous,No,No,"Bard, Cleric, Druid, Paladin, Sorcerer, Warlock, Wizard",End spell ≤3rd-level on target. Higher: ability check 1d20 + spellcasting mod vs DC 10 + spell level. Upcast: auto-end spells ≤ slot level.,Basic
Elemental Weapon,3,Transmutation,1 action,Touch,V S,Concentration up to 1 hour,Yes,No,Paladin,"Nonmagical weapon becomes magic +1 attack/damage; +1d4 chosen damage type (acid/cold/fire/lightning/thunder). Upcast: +2/+2d4 at 5th-6th, +3/+3d4 at 7th+.",Basic
Fear,3,Illusion,1 action,Self (30-ft cone),V S M (white feather or heart of a hen),Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Warlock, Wizard",WIS save or frightened. On turn must Dash away. Save end of each turn (with disadvantage if no LOS).,Basic
Feign Death,3,Necromancy,1 action,Touch,V S M (pinch of graveyard dirt),1 hour,No,Yes,"Bard, Cleric, Druid, Wizard",Willing target appears dead; resistance to all damage except psychic; immune to poison/disease.,Basic
Fireball,3,Evocation,1 action,150 feet,V S M (tiny ball of bat guano and sulfur),Instantaneous,No,No,"Sorcerer, Wizard",20ft radius sphere. DEX save half. 8d6 fire. Ignites unattended flammables. Upcast +1d6 per slot above 3rd.,Basic
Fly,3,Transmutation,1 action,Touch,V S M (a wing feather from any bird),Concentration up to 10 minutes,Yes,No,"Sorcerer, Warlock, Wizard",Touched creature flying speed 60ft. Upcast +1 target per slot.,Basic
Gaseous Form,3,Transmutation,1 action,Touch,V S M (bit of gauze and a wisp of smoke),Concentration up to 1 hour,Yes,No,"Sorcerer, Warlock, Wizard",Willing creature becomes misty cloud; flight 10ft; resistance to nonmagical damage; advantage on STR/DEX/CON saves; pass through small openings; can't attack or cast.,Basic
Glyph of Warding,3,Abjuration,1 hour,Touch,V S M (incense and powdered diamond worth 200gp - consumed),Until dispelled or triggered,No,No,"Bard, Cleric, Wizard",Triggered explosive (5d8 chosen type) or stored spell (≤3rd). Upcast: damage scales; stored spell up to slot level.,Basic
Haste,3,Transmutation,1 action,30 feet,V S M (a shaving of licorice root),Concentration up to 1 minute,Yes,No,"Sorcerer, Wizard","Willing creature: speed ×2; +2 AC; advantage on DEX saves; extra action (Attack 1 weapon attack, Dash, Disengage, Hide, Use Object). End: can't move/act for 1 turn.",Basic
Hypnotic Pattern,3,Illusion,1 action,120 feet,S M (a glowing stick of incense or a crystal vial filled with phosphorescent material),Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Warlock, Wizard",30ft cube. WIS save or charmed; incapacitated; speed 0. Damage ends.,Basic
Lightning Bolt,3,Evocation,1 action,Self (100-ft line),V S M (a bit of fur and a rod of amber crystal or glass),Instantaneous,No,No,"Sorcerer, Wizard",100ft line × 5ft. DEX save half. 8d6 lightning. Upcast +1d6 per slot.,Basic
Magic Circle,3,Abjuration,1 minute,10 feet,V S M (holy water or powdered silver and iron worth 100gp - consumed),1 hour,No,No,"Cleric, Paladin, Warlock, Wizard",10ft radius × 20ft cylinder vs chosen creature type (celestials/elementals/fey/fiends/undead): can't enter; disadvantage on attacks vs creatures inside; can't charm/frighten/possess. Reverse to trap. Upcast: +1h per slot.,Basic
Major Image,3,Illusion,1 action,120 feet,V S M (bit of fleece),Concentration up to 10 minutes,Yes,No,"Bard, Sorcerer, Warlock, Wizard","20ft cube illusion with sound, smell, temperature. INT (Investigation) action vs save DC. Upcast: 6th = duration without concentration up to 10 days.",Basic
Mass Healing Word,3,Evocation,1 bonus action,60 feet,V,Instantaneous,No,No,Cleric,Up to 6 creatures: 1d4 + spellcasting mod HP. Upcast +1d4 per slot.,Basic
Meld into Stone,3,Transmutation,1 action,Touch,V S,8 hours,No,Yes,"Cleric, Druid",Step into a stone object/surface large enough. Mostly invisible/inaudible.,Basic
Nondetection,3,Abjuration,1 action,Touch,V S M (pinch of diamond dust 25gp - consumed),8 hours,No,No,"Bard, Ranger, Wizard",Hide creature/place/object from divination magic.,Basic
Phantom Steed,3,Illusion,1 minute,30 feet,V S,1 hour,No,Yes,Wizard,Quasi-real horse-like steed. AC 11; HP 1; speed 100. Disappears when reduced to 0 HP.,Basic
Plant Growth,3,Transmutation,1 action or 8 hours,150 feet,V S,Instantaneous,No,No,"Bard, Druid, Ranger",Action: 100ft radius difficult terrain. 8h: enrich plants in 1/2 mile radius for 1 year.,Basic
Protection from Energy,3,Abjuration,1 action,Touch,V S,Concentration up to 1 hour,Yes,No,"Cleric, Druid, Ranger, Sorcerer, Wizard",Resistance to chosen energy type (acid/cold/fire/lightning/thunder).,Basic
Remove Curse,3,Abjuration,1 action,Touch,V S,Instantaneous,No,No,"Cleric, Paladin, Warlock, Wizard",End all curses on creature/object touched.,Basic
Revivify,3,Necromancy,1 action,Touch,V S M (diamonds 300gp - consumed),Instantaneous,No,No,"Cleric, Paladin",Creature died within 1 minute returns with 1 HP. Doesn't return creature with missing body parts or that died of old age.,Basic
Sending,3,Evocation,1 action,Unlimited,V S M (short copper wire),1 round,No,No,"Bard, Cleric, Wizard",Send 25-word message to known creature. Recipient can reply.,Basic
Sleet Storm,3,Conjuration,1 action,150 feet,V S M (pinch of dust and a few drops of water),Concentration up to 1 minute,Yes,No,"Druid, Sorcerer, Wizard",20ft radius × 40ft cylinder. Heavily obscured. Difficult terrain. Open flames doused. DEX save on entering or fall prone. Concentration save (CON) when starting turn in.,Basic
Slow,3,Transmutation,1 action,120 feet,V S M (a drop of molasses),Concentration up to 1 minute,Yes,No,"Sorcerer, Wizard",Up to 6 creatures in 40ft cube WIS save. On fail: speed halved; -2 AC and DEX saves; only one action OR bonus; 50% chance casting fails action and bonus needed. Save end of each turn.,Basic
Speak with Dead,3,Necromancy,1 action,10 feet,V S M (burning incense),10 minutes,No,No,"Bard, Cleric",Up to 5 questions to corpse with mouth. Cryptic answers.,Basic
Speak with Plants,3,Transmutation,1 action,Self (30-ft radius),V S,10 minutes,No,No,"Bard, Druid, Ranger",Plants in 30ft answer questions; turn difficult terrain into normal.,Basic
Spirit Guardians,3,Conjuration,1 action,Self (15-ft radius),V S M (holy symbol),Concentration up to 10 minutes,Yes,No,Cleric,15ft radius difficult terrain to enemies. WIS save half 3d8 radiant or necrotic on entering or starting turn. Upcast +1d8 per slot.,Basic
Stinking Cloud,3,Conjuration,1 action,90 feet,V S M (rotten egg or several skunk cabbage leaves),Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Wizard",20ft radius cloud. Heavily obscured. CON save or use action retching for that turn. Wind disperses.,Basic
Tiny Hut,3,Evocation,1 minute,Self (10-ft radius hemisphere),V S M (small crystal bead),8 hours,No,Yes,"Bard, Wizard",Immobile dome (10ft radius). 9 medium creatures. Comfortable interior. Opaque from outside one-way.,Basic
Tongues,3,Divination,1 action,Touch,V M (small clay model of a ziggurat),1 hour,No,No,"Bard, Cleric, Sorcerer, Warlock, Wizard",Touched creature understands and speaks any spoken language.,Basic
Vampiric Touch,3,Necromancy,1 action,Self,V S,Concentration up to 1 minute,Yes,No,"Warlock, Wizard",Melee spell attack 3d6 necrotic; you regain half (round down). Repeat as action each turn. Upcast +1d6 per slot.,Basic
Water Breathing,3,Transmutation,1 action,30 feet,V S M (a short reed or piece of straw),24 hours,No,Yes,"Druid, Ranger, Sorcerer, Wizard",Up to 10 creatures breathe underwater.,Basic
Water Walk,3,Transmutation,1 action,30 feet,V S M (piece of cork),1 hour,No,Yes,"Cleric, Druid, Ranger, Sorcerer",Up to 10 creatures walk on liquid surfaces.,Basic
Wind Wall,3,Evocation,1 action,120 feet,V S M (a tiny fan and a feather of exotic origin),Concentration up to 1 minute,Yes,No,"Druid, Ranger",50ft long × 15ft high × 1ft wall. STR save or 3d8 bludgeoning + push. Tiny flying creatures can't pass; ranged ammo deflected.,Basic
Arcane Eye,4,Divination,1 action,30 feet,V S M (bit of bat fur),Concentration up to 1 hour,Yes,No,Wizard,Invisible magical eye 30ft normal vision and 30ft darkvision. Action to move 30ft in any direction.,Basic
Banishment,4,Abjuration,1 action,60 feet,V S M (item distasteful to target),Concentration up to 1 minute,Yes,No,"Cleric, Paladin, Sorcerer, Warlock, Wizard",CHA save or banished to harmless plane (or home plane if not native; permanent if not native and concentration runs full 1 minute). Upcast +1 target per slot.,Basic
Black Tentacles,4,Conjuration,1 action,90 feet,V S M (piece of tentacle from giant octopus or giant squid),Concentration up to 1 minute,Yes,No,Wizard,20ft square difficult terrain. DEX save on entry/start of turn. On fail 3d6 bludgeoning + restrained. Restrained: STR/DEX action to escape.,Basic
Blight,4,Necromancy,1 action,30 feet,V S,Instantaneous,No,No,"Druid, Sorcerer, Warlock, Wizard",CON save half. 8d8 necrotic. Disadvantage if plant. Plant auto-fail. Upcast +1d8 per slot.,Basic
Compulsion,4,Enchantment,1 action,30 feet,V S,Concentration up to 1 minute,Yes,No,Bard,Each visible creature in range WIS save or charmed. Use bonus action to direct: each affected creature uses movement to move toward chosen direction.,Basic
Confusion,4,Enchantment,1 action,90 feet,V S M (3 nut shells),Concentration up to 1 minute,Yes,No,"Bard, Druid, Sorcerer, Wizard",10ft radius sphere. WIS save or random behavior (d10) each turn. Save end of each turn. Upcast +5ft per slot.,Basic
Conjure Minor Elementals,4,Conjuration,1 minute,90 feet,V S,Concentration up to 1 hour,Yes,No,"Druid, Wizard",Summon 1 CR2/2 CR1/4 CR1-2/8 CR1-4 elementals. Upcast: scale.,Basic
Conjure Woodland Beings,4,Conjuration,1 action,60 feet,V S M (one holly berry per creature),Concentration up to 1 hour,Yes,No,"Druid, Ranger",Summon fey: 1 CR2/2 CR1/4 CR1-2/8 CR1-4. Upcast: scale.,Basic
Control Water,4,Transmutation,1 action,300 feet,V S M (drop of water and pinch of dust),Concentration up to 10 minutes,Yes,No,"Cleric, Druid, Wizard",One of: Flood/Part Water/Redirect Flow/Whirlpool. Affects 100ft cube.,Basic
Death Ward,4,Abjuration,1 action,Touch,V S,8 hours,No,No,"Cleric, Paladin","First time target would drop to 0 HP, drop to 1 instead. If hit by death effect, negate. Spell ends.",Basic
Dimension Door,4,Conjuration,1 action,500 feet,V,Instantaneous,No,No,"Bard, Sorcerer, Warlock, Wizard",Teleport self (and one willing creature within 5ft) to specified location.,Basic
Divination,4,Divination,1 action,Self,V S M (incense and offering 25gp - consumed),Instantaneous,No,Yes,"Cleric, Druid",Receive truthful answer about specific goal/event/activity within next 7 days.,Basic
Dominate Beast,4,Enchantment,1 action,60 feet,V S,Concentration up to 1 minute,Yes,No,"Druid, Sorcerer",Beast WIS save or charmed and follow telepathic commands. Save end of each turn (when damaged with advantage). Upcast: 5th=10min/6th=1h/7th+=8h.,Basic
Faithful Hound,4,Conjuration,1 action,30 feet,"V S M (tiny silver whistle, piece of bone, thread)",8 hours,No,No,Wizard,Invisible watchdog. Barks if creature Small or larger within 30ft (audible 100ft). Action to attack provoking creature: +spell attack 4d8 piercing.,Basic
Fire Shield,4,Evocation,1 action,Self,V S M (a bit of phosphorus or a firefly),10 minutes,No,No,Wizard,Bright light 10ft + dim 10. Resistance to chosen (cold OR fire). Creature within 5ft hitting you with melee takes 2d8 damage opposite type.,Basic
Freedom of Movement,4,Abjuration,1 action,Touch,V S M (leather strap bound around the arm or similar appendage),1 hour,No,No,"Bard, Cleric, Druid, Ranger",Movement unaffected by difficult terrain. Spells/effects can't reduce speed or paralyze/restrain. 5ft to escape grapples nonmagically.,Basic
Giant Insect,4,Transmutation,1 action,30 feet,V S,Concentration up to 10 minutes,Yes,No,Druid,Up to 10 centipedes/3 spiders/5 wasps/1 scorpion become giant versions. Obey commands.,Basic
Greater Invisibility,4,Illusion,1 action,Touch,V S,Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Wizard",Touched creature invisible while attacking and casting.,Basic
Guardian of Faith,4,Conjuration,1 action,30 feet,V,8 hours,No,No,Cleric,Large spectral guardian. Hostile creature within 10ft DEX save half 20 radiant or necrotic. Disappears after 60 damage dealt.,Basic
Hallucinatory Terrain,4,Illusion,10 minutes,300 feet,V S M (stone+twig+green plant),24 hours,No,No,"Bard, Druid, Warlock, Wizard",150ft cube terrain visually disguised. Touch reveals.,Basic
Ice Storm,4,Evocation,1 action,300 feet,V S M (pinch of dust and a few drops of water),Instantaneous,No,No,"Druid, Sorcerer, Wizard",20ft radius × 40ft cylinder. DEX save half. 2d8 bludgeoning + 4d6 cold. Difficult terrain (1 turn). Upcast +1d8 per slot.,Basic
Locate Creature,4,Divination,1 action,Self,V S M (bit of fur from a bloodhound),Concentration up to 1 hour,Yes,No,"Bard, Cleric, Druid, Paladin, Ranger, Wizard",Sense direction of known creature within 1000ft.,Basic
Phantasmal Killer,4,Illusion,1 action,120 feet,V S,Concentration up to 1 minute,Yes,No,Wizard,Target WIS save or frightened. Save end of each turn or take 4d10 psychic. Upcast +1d10 per slot.,Basic
Polymorph,4,Transmutation,1 action,60 feet,V S M (a caterpillar cocoon),Concentration up to 1 hour,Yes,No,"Bard, Druid, Sorcerer, Wizard",WIS save (willing auto-fail). Transformed into beast with CR ≤ target level. New stats; original mind. Damage transfers when shape ends.,Basic
Private Sanctum,4,Abjuration,10 minutes,120 feet,"V S M (thin sheet of lead, piece of opaque glass, wad of cotton or cloth, powdered chrysolite)",24 hours,No,No,Wizard,100ft cube. Sound/divination/teleport/planar travel/scrying blocked.,Basic
Resilient Sphere,4,Evocation,1 action,30 feet,V S M (hemispherical piece of clear crystal and a matching hemispherical piece of gum arabic),Concentration up to 1 minute,Yes,No,Wizard,DEX save (sphere around target). No damage in/out. Sphere can be moved. Disintegrate ends.,Basic
Stone Shape,4,Transmutation,1 action,Touch,V S M (soft clay),Instantaneous,No,No,"Cleric, Druid, Wizard","Form medium stone object: weapon, statue, door, etc.",Basic
Stoneskin,4,Abjuration,1 action,Touch,V S M (diamond dust 100gp - consumed),Concentration up to 1 hour,Yes,No,"Druid, Ranger, Sorcerer, Wizard",Resistance to nonmagical bludgeoning/piercing/slashing.,Basic
Wall of Fire,4,Evocation,1 action,120 feet,V S M (a small piece of phosphorus),Concentration up to 1 minute,Yes,No,"Druid, Sorcerer, Wizard",60ft long × 20ft high × 1ft (or 20ft radius ring × 20ft tall). DEX save half. 5d8 fire on entry/start of turn on hot side. 5d8 to creatures within 10ft of cold side. Upcast +1d8 per slot.,Basic
Animate Objects,5,Transmutation,1 action,120 feet,V S,Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Wizard",Up to 10 nonmagical objects animate. Stats by size. Upcast +2 per slot above 5th.,Basic
Antilife Shell,5,Abjuration,1 action,Self (10-ft radius),V S,Concentration up to 1 hour,Yes,No,Druid,Living creatures can't enter shell.,Basic
Awaken,5,Transmutation,8 hours,Touch,V S M (an agate worth at least 1000 gp - consumed),Instantaneous,No,No,"Bard, Druid","Beast/plant gains INT 10, languages, charmed for 30 days.",Basic
Cloudkill,5,Conjuration,1 action,120 feet,V S,Concentration up to 10 minutes,Yes,No,"Sorcerer, Wizard",20ft radius poisonous fog. CON save half. 5d8 poison. Heavily obscured. Moves 10ft from caster each round. Upcast +1d8 per slot.,Basic
Commune,5,Divination,1 minute,Self,V S M (incense and a vial of holy/unholy water),1 minute,No,Yes,Cleric,Up to 3 yes/no questions to deity (1 question typical).,Basic
Commune with Nature,5,Divination,1 minute,Self,V S,Instantaneous,No,Yes,"Druid, Ranger",Learn 3 facts about local terrain (3 mile radius outdoors / 300ft underground).,Basic
Conjure Elemental,5,Conjuration,1 minute,90 feet,"V S M (burning incense for air, soft clay for earth, sulfur and phosphorus for fire, water and sand for water)",Concentration up to 1 hour,Yes,No,"Druid, Wizard",Summon CR ≤5 elemental.,Basic
Conjure Volley,5,Conjuration,1 action,150 feet,V S M (one piece of ammunition or a thrown weapon),Instantaneous,No,No,Ranger,40ft radius × 20ft cylinder ammo barrage. DEX save half 8d8 of ammo type.,Basic
Contact Other Plane,5,Divination,1 minute,Self,V,1 minute,No,Yes,"Warlock, Wizard",INT save DC 15 or 6d6 psychic and insane until long rest. Ask up to 5 questions.,Basic
Contagion,5,Necromancy,1 action,Touch,V S,7 days,No,No,"Cleric, Druid",Touch attack. CON save 3 times: 3 fail = poisoned and disease (blinding sickness/filth fever/flesh rot/mindfire/seizure/slimy doom).,Basic
Creation,5,Illusion,1 minute,30 feet,V S M (tiny piece of matter of the same type as item to create),Special,No,No,"Sorcerer, Wizard",Create 5ft cube of nonliving matter. Lasts varies by type (vegetable matter 1 day; stone 1 hour; gems 10 minutes).,Basic
Destructive Wave,5,Evocation,1 action,Self (30-ft radius),V,Instantaneous,No,No,Paladin,CON save half. 5d6 thunder + 5d6 chosen radiant or necrotic. On fail: prone.,Basic
Dispel Evil and Good,5,Abjuration,1 action,Self,V S M (holy water or powdered silver and iron),Concentration up to 1 minute,Yes,No,"Cleric, Paladin",Aberrations/celestials/elementals/fey/fiends/undead disadvantage on attacks vs you. End: dismiss/break enchantment/break possession.,Basic
Dominate Person,5,Enchantment,1 action,60 feet,V S,Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Wizard",Humanoid WIS save or charmed and command (advantage when damaged). Upcast: 6th=10min/7th=1h/8th+=8h.,Basic
Dream,5,Illusion,1 minute,Special,"V S M (handful of sand, dab of ink, writing quill plucked from sleeping bird)",8 hours,No,No,"Bard, Warlock, Wizard",Touch sleeping creature on same plane. Send/receive message; deliver nightmare (3d6 psychic + no rest).,Basic
Flame Strike,5,Evocation,1 action,60 feet,V S M (pinch of sulfur),Instantaneous,No,No,Cleric,10ft radius × 40ft cylinder. DEX save half. 4d6 fire + 4d6 radiant. Upcast +1d6 fire OR radiant per slot.,Basic
Geas,5,Enchantment,1 minute,60 feet,V,30 days,No,No,"Bard, Cleric, Druid, Paladin, Wizard",WIS save or charmed; if disobeys command 5d10 psychic 1/day. Upcast: duration scales 6th=1y/7-8th=trigger or 1y/9th=until ended.,Basic
Greater Restoration,5,Abjuration,1 action,Touch,V S M (diamond dust 100gp - consumed),Instantaneous,No,No,"Bard, Cleric, Druid",End one: charmed/petrified/curse/HP max reduction/exhaustion level.,Basic
Hallow,5,Evocation,24 hours,Touch,V S M (herbs/oils/incense 1000gp - consumed),Until dispelled,No,No,Cleric,60ft radius. Excludes specified creature type. Adds chosen secondary effect (courage/darkness/daylight/energy protection/everlasting rest/extradimensional interference/fear/silence/tongues).,Basic
Hold Monster,5,Enchantment,1 action,90 feet,V S M (small straight piece of iron),Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Warlock, Wizard",Non-undead WIS save or paralyzed. Save end of turn. Upcast +1 target per slot.,Basic
Insect Plague,5,Conjuration,1 action,300 feet,"V S M (a few grains of sugar, kernels of grain, smear of fat)",Concentration up to 10 minutes,Yes,No,"Cleric, Druid, Sorcerer",20ft radius locust swarm. Difficult terrain + lightly obscured. CON save half 4d10 piercing on entry/start of turn. Upcast +1d10 per slot.,Basic
Legend Lore,5,Divination,10 minutes,Self,V S M (incense 250gp + 4 ivory strips 50gp each - consumed),Instantaneous,No,No,"Bard, Cleric, Wizard",Brief lore about person/place/object known by name.,Basic
Mass Cure Wounds,5,Evocation,1 action,60 feet,V S,Instantaneous,No,No,"Bard, Cleric, Druid",Up to 6 creatures in 30ft radius regain 3d8 + spellcasting mod HP. Upcast +1d8 per slot.,Basic
Mislead,5,Illusion,1 action,Self,S,Concentration up to 1 hour,Yes,No,"Bard, Wizard",Become invisible + create illusory duplicate. Use action to switch senses with duplicate.,Basic
Modify Memory,5,Enchantment,1 action,30 feet,V S,Concentration up to 1 minute,Yes,No,"Bard, Wizard",WIS save or charmed and incapacitated. Modify memory of past 24h event.,Basic
Passwall,5,Transmutation,1 action,30 feet,V S M (a pinch of sesame seeds),1 hour,No,No,Wizard,5ft × 8ft × 20ft passage through wood/plaster/stone.,Basic
Planar Binding,5,Abjuration,1 hour,60 feet,V S M (jewel worth at least 1000 gp - consumed),24 hours,No,No,"Bard, Cleric, Druid, Wizard",Bind celestial/elemental/fey/fiend to service. CHA save. Upcast: duration scales (10 days/30 days/180 days/1 year).,Basic
Raise Dead,5,Necromancy,1 hour,Touch,V S M (diamond worth 500gp - consumed),Instantaneous,No,No,"Bard, Cleric, Paladin",Restore creature dead ≤10 days. Returns with 1 HP. Penalties for 4 long rests (-4 to attacks/saves/checks).,Basic
Reincarnate,5,Transmutation,1 hour,Touch,V S M (rare oils and unguents 1000gp - consumed),Instantaneous,No,No,Druid,Creature dead ≤10 days returns in new randomly determined humanoid body.,Basic
Scrying,5,Divination,10 minutes,Self,V S M (focus 1000gp pool/mirror/crystal ball),Concentration up to 10 minutes,Yes,No,"Bard, Cleric, Druid, Warlock, Wizard",WIS save by target or you observe via invisible sensor; bonuses/penalties depend on familiarity.,Basic
Seeming,5,Illusion,1 action,30 feet,V S,8 hours,No,No,"Bard, Sorcerer, Wizard",Change appearance of any number of creatures (size +/-1ft). CHA save resists. Reveals to physical inspection.,Basic
Telekinesis,5,Transmutation,1 action,60 feet,V S,Concentration up to 10 minutes,Yes,No,"Sorcerer, Wizard",Action: move target. Creature: STR save vs spell DC. Move 30ft any direction. Object up to 1000lb manipulate.,Basic
Teleportation Circle,5,Conjuration,1 minute,10 feet,V M (rare chalks and inks 50gp - consumed),1 round,No,No,"Bard, Sorcerer, Wizard",10ft circle teleports creatures in to permanent destination circle whose sigil sequence is known.,Basic
Tree Stride,5,Conjuration,1 action,Self,V S,Concentration up to 1 minute,Yes,No,"Druid, Ranger","Move 500ft step into one tree, exit out another of same kind.",Basic
Wall of Force,5,Evocation,1 action,120 feet,V S M (pinch of powder made by crushing a clear gemstone),Concentration up to 10 minutes,Yes,No,Wizard,10× 10ft panels (10 panels × 1in thick). Force barrier - blocks everything except teleport/Disintegrate.,Basic
Wall of Stone,5,Evocation,1 action,120 feet,V S M (small block of granite),Concentration up to 10 minutes,Yes,No,"Druid, Sorcerer, Wizard",10× 10ft panels (6 in thick). After concentration ends if anchored becomes permanent. Upcast +1 panel per slot.,Basic
Blade Barrier,6,Evocation,1 action,90 feet,V S,Concentration up to 10 minutes,Yes,No,Cleric,100ft long × 20ft high × 5ft thick (or 60ft radius ring × 20ft × 5ft). Difficult terrain. DEX save half 6d10 slashing on entry/start of turn.,Basic
Chain Lightning,6,Evocation,1 action,150 feet,"V S M (bit of fur, piece of amber/glass/crystal rod, three silver pins)",Instantaneous,No,No,"Sorcerer, Wizard",Primary target + up to 3 secondaries within 30ft. DEX save half. 10d8 lightning each. Upcast +1 target per slot above 6th.,Basic
Circle of Death,6,Necromancy,1 action,150 feet,V S M (powder of crushed black pearl 500gp - consumed),Instantaneous,No,No,"Sorcerer, Warlock, Wizard",60ft radius. CON save half. 8d6 necrotic. Upcast +2d6 per slot.,Basic
Conjure Fey,6,Conjuration,1 minute,90 feet,V S,Concentration up to 1 hour,Yes,No,"Druid, Warlock",Summon fey CR ≤6.,Basic
Contingency,6,Evocation,10 minutes,Self,V S M (statuette of yourself carved from ivory and decorated with gems 1500gp),10 days,No,No,Wizard,Stored spell ≤5th targets you when trigger occurs.,Basic
Create Undead,6,Necromancy,1 minute,10 feet,V S M (one clay pot filled with grave dirt + one clay pot filled with brackish water + 150gp black onyx stone for each corpse),Instantaneous,No,No,"Cleric, Warlock, Wizard","Create up to 3 ghouls (or higher undead at higher slots). Recast within 24h to maintain. Upcast: 7th=2 ghasts/wights, 8th=4, 9th=6 ghasts/wights/3 mummies.",Basic
Disintegrate,6,Transmutation,1 action,60 feet,V S M (lodestone and pinch of dust),Instantaneous,No,No,"Sorcerer, Wizard",DEX save. On fail 10d6+40 force; if reduces to 0 HP creature is disintegrated. Force damage. Upcast +3d6 per slot.,Basic
Eyebite,6,Necromancy,1 action,Self,V S,Concentration up to 1 minute,Yes,No,"Bard, Sorcerer, Warlock, Wizard",Action each turn: target you can see. WIS save or one of: asleep (6d6 max HP)/panicked (frightened+flee)/sickened (poisoned).,Basic
Find the Path,6,Divination,1 minute,Self,V S M (set of divinatory tools - bones/ivory sticks/cards/teeth/etc. 100gp),Concentration up to 1 day,Yes,No,"Bard, Cleric, Druid",Know shortest path to specified destination on same plane.,Basic
Flesh to Stone,6,Transmutation,1 action,60 feet,"V S M (pinch of lime, water, and earth)",Concentration up to 1 minute,Yes,No,"Warlock, Wizard",CON save 3 times. 1 fail = restrained; 3 fails = petrified for duration; 3 success = ends.,Basic
Forbiddance,6,Abjuration,10 minutes,Touch,V S M (rare incense and powdered ruby 1000gp - consumed),1 day,No,Yes,Cleric,40000 sq ft area. Excludes: travel via planar magic; chosen creature type takes 5d10 radiant or necrotic on entry.,Basic
Globe of Invulnerability,6,Abjuration,1 action,Self (10-ft radius),V S M (glass or crystal bead that shatters when spell ends),Concentration up to 1 minute,Yes,No,"Sorcerer, Wizard",10ft radius. Spells of ≤5th level cast outside have no effect inside. Upcast: ≤slot-1 level.,Basic
Guards and Wards,6,Abjuration,10 minutes,Touch,"V S M (burning incense, small piece of rare wood, crushed gems 10gp, powdered diamond, ruby and emerald 1000gp - consumed)",24 hours,No,No,"Bard, Wizard",Ward 2500 sq ft area: fog/door enchantments/stairs/mist/special trap.,Basic
Harm,6,Necromancy,1 action,60 feet,V S,Instantaneous,No,No,Cleric,CON save half. 14d6 necrotic; HP max reduced (until long rest) by amount damaged.,Basic
Heal,6,Evocation,1 action,60 feet,V S,Instantaneous,No,No,"Cleric, Druid",Restore 70 HP; end blindness/deafness/diseases. Upcast +10 HP per slot.,Basic
Heroes' Feast,6,Conjuration,10 minutes,30 feet,V S M (gem-encrusted bowl 1000gp - consumed),Instantaneous,No,No,"Cleric, Druid",Up to 12 creatures consume feast: cured of diseases/poisons; immune to poison/frightened; advantage on WIS saves; +2d10 max HP and current HP. 24h.,Basic
Instant Summons,6,Conjuration,1 minute,Touch,V S M (sapphire 1000gp),Until dispelled,No,Yes,Wizard,Mark object. Action to summon to hand from anywhere on same plane.,Basic
Irresistible Dance,6,Enchantment,1 action,30 feet,V,Concentration up to 1 minute,Yes,No,"Bard, Wizard",Target dances. -10ft speed. Disadvantage on DEX saves and attacks. WIS save end of turn.,Basic
